Date,Mean,Qual,Cutoff,Site
2022-01-19 02:00:00,0.564,2,2022-01-19,405325
2022-01-19 03:00:00,0.562,2,2022-01-19,405325
2022-01-19 04:00:00,0.56,2,2022-01-19,405325
2022-01-19 05:00:00,0.561,2,2022-01-19,405325
2022-01-19 06:00:00,0.559,2,2022-01-19,405325
2022-01-19 07:00:00,0.557,2,2022-01-19,405325
2022-01-19 08:00:00,0.556,2,2022-01-19,405325
2022-01-19 09:00:00,0.556,2,2022-01-19,405325
2022-01-19 10:00:00,0.557,2,2022-01-19,405325
2022-01-19 11:00:00,0.556,2,2022-01-19,405325
2022-01-19 12:00:00,0.558,2,2022-01-19,405325
2022-01-19 13:00:00,0.556,2,2022-01-19,405325
2022-01-19 14:00:00,0.558,2,2022-01-19,405325
2022-01-19 15:00:00,0.557,2,2022-01-19,405325
2022-01-19 16:00:00,0.554,2,2022-01-19,405325
2022-01-19 17:00:00,0.551,2,2022-01-19,405325
2022-01-19 18:00:00,0.548,2,2022-01-19,405325
2022-01-19 19:00:00,0.546,2,2022-01-19,405325
2022-01-19 20:00:00,0.546,2,2022-01-19,405325
2022-01-19 21:00:00,0.546,2,2022-01-19,405325
2022-01-19 22:00:00,0.546,2,2022-01-19,405325
2022-01-19 23:00:00,0.553,2,2022-01-19,405325
2022-01-20 00:00:00,0.556,2,2022-01-20,405325
2022-01-20 01:00:00,0.557,2,2022-01-20,405325
2022-01-20 02:00:00,0.556,2,2022-01-20,405325
2022-01-20 03:00:00,0.554,2,2022-01-20,405325
2022-01-20 04:00:00,0.551,2,2022-01-20,405325
2022-01-20 05:00:00,0.55,2,2022-01-20,405325
2022-01-20 06:00:00,0.548,2,2022-01-20,405325
2022-01-20 07:00:00,0.546,2,2022-01-20,405325
2022-01-20 08:00:00,0.544,2,2022-01-20,405325
2022-01-20 09:00:00,0.541,2,2022-01-20,405325
2022-01-20 10:00:00,0.539,2,2022-01-20,405325
2022-01-20 11:00:00,0.54,2,2022-01-20,405325
2022-01-20 12:00:00,0.543,2,2022-01-20,405325
2022-01-20 13:00:00,0.546,2,2022-01-20,405325
2022-01-20 14:00:00,0.545,2,2022-01-20,405325
2022-01-20 15:00:00,0.544,2,2022-01-20,405325
2022-01-20 16:00:00,0.543,2,2022-01-20,405325
