Station Name,Time/Day,Height,Tendency,Flood Class,Scraped,State
Wynnum Ck at Byrneside St Wynnum,6.30am Thu,1.48,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Lota Ck at Rickertt Rd Ransome,5.00am Thu,1.55,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Bulimba Ck at Doughboy Pde Hemmant,2.33pm Thu,0.29,falling,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Bulimba Ck Old C'land Rd Carindale,2.09pm Thu,2.24,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Bulimba Ck at Greenwood St Wishart,5.54am Thu,18.34,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Norman Ck Caswell St E Brisbane,2.37pm Thu,0.38,falling,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Norman Ck at Joachim St Holland Pk,4.58am Thu,15.30,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Oxley Ck Mouth,2.35pm Thu,0.83,falling,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Rocky Waterholes at Muriel Ave,2.12pm Thu,2.92,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Oxley Ck at Corinda High,2.32pm Thu,0.85,falling,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Breakfast Ck Mouth,2.39pm Thu,0.39,falling,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Kedron Bk at McCord St,9.58am Thu,7.26,rising,,2022-10-13 16:07:30.866648+11:00,QLD
Macintyre Bk at Inglewood Weir,2.00pm Thu,2.44,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Samford Ck at Samford Village,12.35pm Thu,0.00,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
N Pine R at North Pine Dam-1,1.20pm Thu,35.82,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Kobble Ck at Mt Samson Rd,12.00pm Thu,1.17,steady,,2022-10-13 16:07:30.866648+11:00,QLD
North Pine R at Dayboro,12.00pm Thu,-0.07,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Terrors Ck at Dayboro,1.43pm Thu,0.29,steady,,2022-10-13 16:07:30.866648+11:00,QLD
South Pine R at Gympie Rd,2.37pm Thu,0.63,falling,,2022-10-13 16:07:30.866648+11:00,QLD
South Pine R at Eatons Hill,12.00pm Thu,0.00,steady,,2022-10-13 16:07:30.866648+11:00,QLD
S Pine R at Drapers Crossing,2.00pm Thu,0.80,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Sth Pine River at Samford Valley,2.28pm Thu,0.00,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Kedron Bk at Nudgee Rd Toombul,2.36pm Thu,0.09,falling,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Cedar Ck at Cedar Ck Rd,11.40am Thu,0.60,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Cabbage Tree Ck at Braun St Deagon,2.37pm Thu,0.18,falling,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Cabbage Tree Ck at Pineapple St,2.36pm Thu,9.14,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Lt Cabbage Tree Ck Stringybark Dr,12.40pm Thu,26.47,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Cabbage Tree Ck at Old N'n Rd,10.28am Thu,41.38,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Downfall Ck at Everton Park,10.21am Thu,36.72,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Downfall Ck Brickyard Rd Geebung,11.06am Thu,3.54,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Zillman Waterhole at F.Sleeman Pk,8.55am Thu,1.61,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
